"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"AI Researcher","Software Developers","Cisco Systems, Inc.","Holmdel, NJ","New York-Newark-Jersey City, NY-NJ-PA","$154,000","2025"
"AI RESEARCHER","Computer and Information Research Scientists","Mighty Computing, Inc.","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$230,000","2025"
"AI RESEARCHER","Computer and Information Research Scientists","Mighty Computing, Inc.","Cambridge, MA","Boston-Cambridge-Newton, MA-NH","$230,000","2025"
"AI Scientist","Computer and Information Research Scientists","Mistral AI, Inc.","Palo Alto, CA","San Jose-Sunnyvale-Santa Clara, CA","$330,000","2025"
"AI Scientist","Computer and Information Research Scientists","Mistral AI, Inc.","Palo Alto, CA","San Jose-Sunnyvale-Santa Clara, CA","$280,000","2025"
"AI Scientist","Statisticians","Mistral AI, Inc.","Palo Alto, CA","San Jose-Sunnyvale-Santa Clara, CA","$300,000","2025"
"AI Scientist","Data Scientists","Intuit Inc.","Mountain View, CA","San Jose-Sunnyvale-Santa Clara, CA","$148,699","2025"
"AI Scientist","Computer and Information Research Scientists","Roblox Corporation","San Mateo, CA","San Francisco-Oakland-Hayward, CA","$261,250","2025"
"AI Security Researcher - Security Flow","Software Developers","BYTEDANCE INC.","San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA","$340,000","2025"
"AI Senior Machine Learning Scientist","Data Scientists","Elevance Health, Inc.","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI","$182,070","2025"
"AI Software Developer - Mid","Software Developers","Susquehanna International Group, LLP","Bala Cynwyd, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","$146,100","2025"
"AI Software Development Engineer","Software Developers","Logik.io, Inc.","Deerfield, IL","Chicago-Naperville-Elgin, IL-IN-WI","$90,000","2025"
"AI Software Development Engineer","Software Developers","Logik.io, Inc.","Deerfield, IL","Chicago-Naperville-Elgin, IL-IN-WI","$90,000","2025"
"AI Software Engineer","Software Developers","Manifest AI Co.","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$125,000","2025"
"AI Software Engineer","Software Developers","Delta Air Lines, Inc.","Bloomington, MN","Minneapolis-St. Paul-Bloomington, MN-WI","$137,813","2025"
"AI Software Engineer","Software Developers","Zoom Communications, Inc.","Bellevue, WA","Seattle-Tacoma-Bellevue, WA","$190,486","2025"
"AI Software Engineer","Software Developers","Delta Air Lines, Inc.","Bloomington, MN","Minneapolis-St. Paul-Bloomington, MN-WI","$137,813","2025"
"AI Software Engineering Manager","Architectural and Engineering Managers","Intel Corporation ","Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA","$278,387","2025"
"AI Solution Consultant","Economists","C3.ai, Inc.","Redwood City, CA","San Francisco-Oakland-Hayward, CA","$135,550","2025"
"AI Solution Manager","Information Technology Project Managers","C3.ai, Inc.","Redwood City, CA","San Francisco-Oakland-Hayward, CA","$157,500","2025"
"AI Solution Manager","Information Technology Project Managers","C3.ai, Inc.","Redwood City, CA","San Francisco-Oakland-Hayward, CA","$157,000","2025"
"AI/Data Science Director","Architectural and Engineering Managers","Medtronic, Inc. ","Northridge, CA","","$215,030","2025"
"AI/Data Science Manager","Database Architects","Medtronic, Inc. ","Northridge, CA","","$175,698","2025"
"AI/Machine Learning Manager","Information Technology Project Managers","Envision Building Products LLC","Lamar, MO","","$125,000","2025"
"AI/ML Computational Science Assoc Mgr","Computer Systems Analysts","Accenture LLP","Raleigh, NC","Raleigh, NC","$120,500","2025"
"AI/ML Computational Science Assoc Mgr","Computer Systems Analysts","Accenture LLP","Durham, NC","Durham-Chapel Hill, NC","$120,500","2025"
"AI/ML Computational Science Associate Manager","Software Developers","Accenture LLP","Irving, TX","Dallas-Fort Worth-Arlington, TX","$170,000","2025"
"AI/ML Computational Science Manager","Computer Systems Analysts","Accenture LLP","Florham Park, NJ","New York-Newark-Jersey City, NY-NJ-PA","$194,800","2025"
"AI/ML Computational Science Manager","Computer Systems Analysts","Accenture LLP","Pennington, NJ","Trenton, NJ","$168,300","2025"
"AI/ML Computational Science Senior","Computer Systems Engineers/Architects","Accenture LLP","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$278,800","2025"
"AI/ML Engineer","Software Developers","AST Global Inc.","Marlborough, MA","Boston-Cambridge-Newton, MA-NH","$122,970","2025"
"AI/ML Engineer","Computer and Information Research Scientists","Mayo Clinic ","Shoreline, WA","Seattle-Tacoma-Bellevue, WA","$121,264","2025"
"AI/ML Engineer","Data Scientists","GlaxoSmithKline LLC","South San Francisco, CA","San Francisco-Oakland-Hayward, CA","$128,398","2025"
"AI/ML Engineer","Software Developers","Horkus Solutions, Inc","Dunwoody, GA","Atlanta-Sandy Springs-Roswell, GA","$127,504","2025"
"AI/ML Engineer","Software Developers","VISTA APPLIED SOLUTIONS GROUP INC","Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC","$112,986","2025"
"AI/ML Engineer/Researcher","Computer and Information Research Scientists","Symetrix Corporation","Colorado Springs, CO","Colorado Springs, CO","$86,694","2025"
"AI/ML Systems Engineer","Data Scientists","MOURI Tech LLC","Orlando, FL","Orlando-Kissimmee-Sanford, FL","$93,000","2025"
"AidData Senior Program Manager I","Social Science Research Assistants","The College of William and Mary","Williamsburg, VA","Virginia Beach-Norfolk-Newport News, VA-NC","$80,766","2025"
"AIG TECHNICAL SERVICES LLC","Civil Engineers","AIG TECHNICAL SERVICES, INC.","HOUSTON, TX","Houston-The Woodlands-Sugar Land, TX","$135,000","2025"
"Air Pollution Specialist","Environmental Scientists and Specialists, Including Health","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$8,891","2025"
"Air Pollution Specialist","Environmental Scientists and Specialists, Including Health","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$8,891","2025"
"Air Pollution Specialist","Environmental Scientists and Specialists, Including Health","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$9,336","2025"
"Air Pollution Specialist","Environmental Scientists and Specialists, Including Health","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$7,227","2025"
"Air Pollution Specialist","Environmental Scientists and Specialists, Including Health","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$8,891","2025"
"Air Pollution Specialist","Environmental Scientists and Specialists, Including Health","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$8,891","2025"
"Air Pollution Specialist","Environmental Scientists and Specialists, Including Health","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$9,336","2025"
"Air Pollution Specialist","Environmental Scientists and Specialists, Including Health","California Air Resources Board","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA","$10,344","2025"
"Air Quality Engineer I -TAO","Environmental Engineers","South Coast Air Quality Management District","Diamond Bar, CA","","$99,196","2025"
